cplexes	type	charge	scharge	a0	Al	 Ca	 Cl	 H2O   	 HCO3	 H	K	 Mg	 Na	NH3	 SiO2  	SO4	E	X	GCa	GCO3	Lac
 HCl               	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
 HClO              	0	0	0	4	0	0	1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0
 ClO-              	0	-1	0	4	0	0	1	1	0	-2	0	0	0	0	0	0	0	0	0	0	0
 HClO2             	0	0	0	4	0	0	1	2	0	-3	0	0	0	0	0	0	0	0	0	0	0
 ClO2-             	0	-1	0	4	0	0	1	2	0	-4	0	0	0	0	0	0	0	0	0	0	0
 ClO3-             	0	-1	0	4	0	0	1	3	0	-6	0	0	0	0	0	0	0	0	0	0	0
 ClO4-             	0	-1	0	4	0	0	1	4	0	-8	0	0	0	0	0	0	0	0	0	0	0
KSO4	0	-1	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
NaSO4	0	-1	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
CaSO4	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
MgSO4	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
NH4+	0	1	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
GCaCO3	1	0	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	2	0	1	0	0
GCaOH	1	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	1	0	1	0	0
GCaHCO3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
GCO3H	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	1	0
GCO3Ca	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	-2	0	0	1	0
GCaSO4	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0
GCO3Mg	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	-2	0	0	1	0
NaX	2	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
KX	2	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
CaX2	2	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MgX2	2	2	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
AlX3	2	3	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LacH	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CaLac+	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
